title,authors,average_rating,ratings_count,similarity
Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling/Mary GrandPré,4.47,147,1.0
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPré,4.42,2293963,1.0
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,2339585,1.0
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,2153167,1.0
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,41428,1.0
Harry Potter Y La Piedra Filosofal (Harry Potter  #1),J.K. Rowling,4.47,142,0.7077795058464833
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,4.4,11515,0.7077795058464833
Harry Potter and the Philosopher's Stone (Harry Potter  #1),J.K. Rowling,4.47,11,0.7077795058464833
Harry Potter and the Goblet of Fire (Harry Potter  #4),J.K. Rowling,4.56,18754,0.7077795058464833
Harry Potter y la Orden del Fénix (Harry Potter  #5),J.K. Rowling,4.49,5637,0.7077795058464833
